ADDRESS,STREET NUMBER,STREET,APARTMENT,CITY,COUNTY,STATE,ZIP CODE,LIST PRICE,PRIOR PRICE,PRIOR PRICE DATE,CHANGE FROM PRIOR PRICE ($),CHANGE FROM PRIOR PRICE (%),ORIGINAL PRICE,ORIGINAL PRICE DATE,CHANGE FROM ORIGINAL PRICE ($),CHANGE FROM ORIGINAL PRICE (%),SALE PRICE,SALE DATE,STATUS,LISTING TYPE,PROPERTY TYPE,BEDS,FULL BATHS,PARTIAL BATHS,SQ FT,PRICE/SQFT,LOT SIZE,YEAR BUILT,NEIGHBORHOOD,DESCRIPTION,PRIMARY PHOTO,NUMBER OF PHOTOS,VIRTUAL TOUR,MY NOTES,DATE SAVED,MLS ID,DAYS ON TRULIA,URL,AGENT NAME,AGENT EMAIL,AGENT PHONE,BROKER NAME,PROVIDED BY,LISTING SOURCE URL,OPEN HOUSE DATE (1),OPEN HOUSE TIME (1),OPEN HOUSE END TIME (1),OPEN HOUSE DATE (2),OPEN HOUSE START TIME (2),OPEN HOUSE END TIME (2),OPEN HOUSE DATE (3),OPEN HOUSE START TIME (3),OPEN HOUSE END TIME (3)
      11670 SE Aerie Crescent Rd Happy Valley OR 97086,11670,SE Aerie Crescent Rd,,Happy Valley,Clackamas,OR,97086,439947,,,,,,,,,,,For Sale,Resale,Single-Family Home,4,2,1,2926,150.35783,,2005,,Better Homes & Gardens Approved! Quality throughout this impeccably maintained Renaissance built home in Happy Valley on West side of Mt Scott located on low traffic street! Near Eagle Landing Golf course Park & trails yet EZ access to I-205. Enjoy the welcoming entry with hardwood floors & spacious Great Room with large granite island in kitchen. Covered patio opens to manicured fenced yard for fun BBQ's. Hurry to see for yourself!,http://thumbs.trulia-cdn.com/pictures/thumbs_big/ps.61/9/6/e/9/picture-uh=f5a49a3821a5a2986415681bb32f887-ps=96e9bd9ee35484668dd5621ea682.jpg,16,http://terryiverson.com/gallery/HoughTeam/11670,,2014-04-27 06:40:24,14461495,1,http://www.trulia.com/property/3153749673-11670-SE-Aerie-Crescent-Rd-Happy-Valley-OR-97086,Roger Hough,rogerhough@houghteam.com,(503) 345-0388,,Better Homes and Gardens Real Estate Realty Partners,http://listhub.bhgrealestate.com/pages/RFGBHG/4300601/?channel=trulia,,,,,,,,,
      8994 SE Highgate Dr Happy Valley OR 97086,8994,SE Highgate Dr,,Happy Valley,Clackamas,OR,97086,418000,,,,,,,,,,Jun 28th 2001,Pending,Resale,Single-Family Home,3,2,1,2398,174.31192,6 098 sqft,2000,,,,,,,2014-04-27 06:40:02,14689697,1,http://www.trulia.com/property/3105894350-8994-SE-Highgate-Dr-Happy-Valley-OR-97086,,,,,My Secret Agent,http://listings.listhub.net/pages/RMLSOR/14689697/?channel=trulia,,,,,,,,,
      13659 SE Mountain Crest Dr Happy Valley OR 97086,13659,SE Mountain Crest Dr,,Happy Valley,Clackamas,OR,97086,459500,,,,,,,,,,,For Sale,Resale,Single-Family Home,5,3,1,2800,164.10715,,2012,,Less than 2 years old with many upgrades throughout this stunning home with incredible views of mountain range and valley. 2 decks with views . Features 5 bedrooms and additional office on main floor. Spacious great room open to kitchen area.,http://thumbs.trulia-cdn.com/pictures/thumbs_big/ps.61/1/d/e/4/picture-uh=0da6fda89b3de6431c6be7a41f97340-ps=1de4dc7cd9ab34d6404de0c09550712e.jpg,14,http://www.hasson.com/property/29317078/syn/3/,,2014-04-27 06:39:53,14331201,1,http://www.trulia.com/property/3081315673-13659-SE-Mountain-Crest-Dr-Happy-Valley-OR-97086,Hasson,trunkm@hasson.com,(503) 212-2331,,Hasson,http://www.hasson.com/property/29317078/syn/3/,,,,,,,,,
      17366 SW Kinglet Dr Sherwood OR 97140,17366,SW Kinglet Dr,,Sherwood,Washington,OR,97140,305000,,,,,,,,,,,For Sale,Resale,Single-Family Home,3,2,0,1649,184.96059,5 227 sqft,2000,,Large one level and crammed with extras in a great area in Sherwood. Large front porch french doors central air vaulted ceilings gas fireplace tons of windows soaking tub fenced yard and sprinklers.,http://thumbs.trulia-cdn.com/pictures/thumbs_big/ps.61/4/4/8/7/picture-uh=bbf560ba3bb2f543a1a1801d997f5dfe-ps=4487b799e3c440e8e73bacb7619b36.jpg,16,,,2014-04-27 06:39:10,14409906,1,http://www.trulia.com/property/3153749970-17366-SW-Kinglet-Dr-Sherwood-OR-97140,Greg Messick,greg@realtynetllc.com,(503) 770-0585,,Realty NET,http://listings.listhub.net/pages/RMLSOR/14409906/?channel=trulia,,,,,,,,,
      13231 SW Hillshire Dr Tigard OR 97223,13231,SW Hillshire Dr,,Tigard,Washington,OR,97223,435000,,,,,,,,,,,For Sale,Resale,Single-Family Home,3,2,1,2313,188.06744,7 405 sqft,1994,,Fantastic Bull Mt 3 Bedroom w/ Den & 3 car garage! Nice open floorplan with vaults skylights and upgrades. This home has hardwood floors newer carpets & new Granite kitchen counters sink & fixtures. Kitchen open to family room w/ cooking isl nook pantry pull outs built ins & Speakers. Master suite with tile double sinks soak tub and walk in. Gorgeous Peaceful backyard with deck and pergola. An extra room off garage too.,http://thumbs.trulia-cdn.com/pictures/thumbs_big/ps.61/d/5/1/1/picture-uh=603241706d249e56f1899ce7b8d5c871-ps=d511e5a87db5ac7364a62a5c7998198.jpg,15,,,2014-04-27 06:38:54,14392209,1,http://www.trulia.com/property/3153738212-13231-SW-Hillshire-Dr-Tigard-OR-97223,Todd and Leslie McCabe,info@toddmccabe.com,(503) 451-6400,,Keller Williams Realty Portland Premiere,http://realestate.kellerwilliams.com/pages/RMLSOR/14392209/?channel=trulia,,,,,,,,,
      10700 SW Summer Lake Dr Tigard OR 97223,10700,SW Summer Lake Dr,,Tigard,Washington,OR,97223,360000,,,,,,,,,,,For Sale,Resale,Single-Family Home,4,2,1,2432,148.02632,6 098 sqft,1988,,Desirable home in Amart Summer Lake Subdivision ~ 4 bedrooms ~ 2.5 bathrooms ~ well maintain backyard with mature plants ~ open kitchen concept flow into family room ~ formal living and dining room ~ Open house Sunday May 4th between 11-3 ~,http://thumbs.trulia-cdn.com/pictures/thumbs_big/ps.61/5/d/4/1/picture-uh=95f1e55e348b88278fe52a2c0d44782-ps=5d414627980fea038e9dd9d79d83e3e.jpg,14,,,2014-04-27 06:38:38,14462276,1,http://www.trulia.com/property/3153741313-10700-SW-Summer-Lake-Dr-Tigard-OR-97223,Tony Ngo,tn8288@gmail.com,(503) 928-7008,,Real Estate Performance Group,http://listings.listhub.net/pages/RMLSOR/14462276/?channel=trulia,,,,,,,,,
      9640 SW Shady Pl Tigard OR 97223,9640,SW Shady Pl,,Tigard,Washington,OR,97223,499900,,,,,,,,,,,For Sale,Resale,Single-Family Home,4,2,1,2806,178.15396,7 405 sqft,2007,,Luxurious traditional. A grand foyer introduces you to the spacious floor plan w/dark hardwoods and a great room experience w/natural light & a gas FP. The gourmet kitchen is complete with ss appliances and a cook island and nook area. Other features are the den/office on main and a family/media room on the lower level.,http://thumbs.trulia-cdn.com/pictures/thumbs_big/ps.61/d/4/4/b/picture-uh=a850b36bbd84d19e0c414d75ffc854-ps=d44bf496f51369f391dd4f902261a5c2.jpg,15,,,2014-04-27 06:38:28,14676279,1,http://www.trulia.com/property/1060401200-9640-SW-Shady-Pl-Tigard-OR-97223,Suzanne Clark,office@suzanneclarkgroup.com,9712956875,,Keller Williams Portland Central,http://realestate.kellerwilliams.com/pages/RMLSOR/14676279/?channel=trulia,,,,,,,,,
      9 Juarez St Lake Oswego OR 97035,9,Juarez St,,Lake Oswego,Multnomah,OR,97035,499000,,,,,,,,,,,For Sale,Resale,Single-Family Home,3,3,1,2823,176.76231,8 712 sqft,1983,Mount Park,Pictures are from 2010. Exterior needs work. Mountain Park nghborhd-naturally peaceful home. Gigantic wndws allow landscape to become part of interior & natural light. Open concept & loft-style vaulted ceilings of lvng dning & ktchn. Stone-detailed gas freplce viewable from lving & dning rms. Ktchn w/ granite cntertps. Renovated bthrms w/ elegant tile work & modern fixtures. Mster bdrm w/ walk-in closet & attchd deck.,http://thumbs.trulia-cdn.com/pictures/thumbs_big/ps.61/6/0/6/0/picture-uh=782ce6618ae07885b023d75272968570-ps=6060e70edf8a321a0209170716578e.jpg,16,,,2014-04-27 06:38:11,14676489,1,http://www.trulia.com/property/1042461881-9-Juarez-St-Lake-Oswego-OR-97035,Suzanne Clark,office@suzanneclarkgroup.com,9712956875,,Keller Williams Portland Central,http://realestate.kellerwilliams.com/pages/RMLSOR/14676489/?channel=trulia,,,,,,,,,
      17233 SW Roosevelt St Sherwood OR 97140,17233,SW Roosevelt St,,Sherwood,Washington,OR,97140,394500,,,,,,,,,,,For Sale,Resale,Single-Family Home,4,2,1,2539,155.37613,5 227 sqft,2004,,Flawless home in the desirable Heron Ridge Estates. Light bright and airy with high ceilings and hardwood floors throughout most of the main floors. Formal living and dining rooms. Gourmet kitchen with island stainless steel appliances including gas range pantry and breakfast nook. Inviting family room with large picture window. Master bedroom retreat with walk-in closet. Master bath with soaking tub shower and dual vanities.,http://thumbs.trulia-cdn.com/pictures/thumbs_big/ps.61/4/b/a/4/picture-uh=a4b4d95125bdf6d84c9b839dba4863c-ps=4ba44e4e9df9458055f5a75bb2ea067.jpg,16,,,2014-04-26 13:52:09,14537398,2,http://www.trulia.com/property/1085961509-17233-SW-Roosevelt-St-Sherwood-OR-97140,Bill Gaffney,bgaffney@email.com,(503) 310-6775,,Change Realty LLC,http://listings.listhub.net/pages/RMLSOR/14537398/?channel=trulia,,,,,,,,,
      23318 SW Old Highway 99w Sherwood OR 97140,23318,SW Old Highway 99w,,Sherwood,Washington,OR,97140,287500,,,,,,,,,,,For Sale,Resale,Single-Family Home,3,2,1,1545,186.08414,6 969 sqft,1997,,Well-built home in desirable Woodhaven neighborhood! Spacious open floor plan. Darling bright and airy kitchen features a large eat bar and opens to family room with a cozy gas fireplace. Formal living room w/ vaulted ceilings. Huge master suite is also vaulted w/ walk-in closet private bath & access to back deck. Nice shady low-maint. backyard features covered patio w/ hot tub under a custom gazebo magnolia dogwood trees & more!,http://thumbs.trulia-cdn.com/pictures/thumbs_big/ps.61/7/f/a/5/picture-uh=fcdacdb59ae08180b426a914bb244bf-ps=7fa57842791b620664cf28443ffe7e7.jpg,14,http://eproptours.com/tour/play.htm?vid=23318swoldhwy99w,,2014-04-26 13:51:57,14383621,2,http://www.trulia.com/property/3153682803-23318-SW-Old-Highway-99w-Sherwood-OR-97140,Sarah Spohn,sarahs@oregonrealty.com,(503) 839-8846,,Oregon Realty Company,http://listings.listhub.net/pages/RMLSOR/14383621/?channel=trulia,,,,,,,,,
