ADDRESS,STREET NUMBER,STREET,APARTMENT,CITY,COUNTY,STATE,ZIP CODE,LIST PRICE,PRIOR PRICE,PRIOR PRICE DATE,CHANGE FROM PRIOR PRICE ($),CHANGE FROM PRIOR PRICE (%),ORIGINAL PRICE,ORIGINAL PRICE DATE,CHANGE FROM ORIGINAL PRICE ($),CHANGE FROM ORIGINAL PRICE (%),SALE PRICE,SALE DATE,STATUS,LISTING TYPE,PROPERTY TYPE,BEDS,FULL BATHS,PARTIAL BATHS,SQ FT,PRICE/SQFT,LOT SIZE,YEAR BUILT,NEIGHBORHOOD,DESCRIPTION,PRIMARY PHOTO,NUMBER OF PHOTOS,VIRTUAL TOUR,MY NOTES,DATE SAVED,MLS ID,DAYS ON TRULIA,URL,AGENT NAME,AGENT EMAIL,AGENT PHONE,BROKER NAME,PROVIDED BY,LISTING SOURCE URL,OPEN HOUSE DATE (1),OPEN HOUSE TIME (1),OPEN HOUSE END TIME (1),OPEN HOUSE DATE (2),OPEN HOUSE START TIME (2),OPEN HOUSE END TIME (2),OPEN HOUSE DATE (3),OPEN HOUSE START TIME (3),OPEN HOUSE END TIME (3)
      2100 Hammerle St West Linn OR 97068,2100,Hammerle St,,West Linn,Clackamas,OR,97068,300000,,,,,,,,,,,For Sale,Resale,Single-Family Home,4,2,0,2168,138.37639,9 147 sqft,1967,Bolton,Enjoy a three Mountain view from the greatroom area. This 1967 daylight ranch has beautifully refinished solid oak flooring throughout the main living area. Three bedrooms are on the main floor and one is downstairs. Big lot with mature landscaping and private back yard. The three level deck provides lots of outside living area. Large workshop and utility room in the basement are unfinished. Ready for you to redecorate to your taste!,http://thumbs.trulia-cdn.com/pictures/thumbs_big/ps.62/d/0/5/b/picture-uh=dc1afa4182dc6d91b1c1ca45a162a97a-ps=d05b9c51e6764215121b57dfc9bf8e.jpg,39,,,2014-05-10 06:24:46,14383257,1,http://www.trulia.com/property/3155283430-2100-Hammerle-St-West-Linn-OR-97068,Linda & Ken Baysinger,team.baysinger@comcast.net,(503) 502-7968,,Windermere Real Estate,http://listhub.windermere.com/pages/WINDERMERE/24867351/?channel=trulia,,,,,,,,,
      10716 SW 127th Ct Tigard OR 97223,10716,SW 127th Ct,,Tigard,Washington,OR,97223,329900,,,,,,,,,,,For Sale,Resale,Single-Family Home,3,2,1,2054,160.61343,5 662 sqft,1986,,Updated home with great floor plan in desirable Summerlake neighborhood. Updates include granite counters in kitchen and baths stainless kitchen appliances new light fixtures newer 50 year comp roof carpeting and more. Kitchen opens to large family room with tile floors. Master suite with jetted tub. Private fenced back yard with patio. Beaverton Schools including Conestoga and Southridge. Only a few blocks to Starbucks.,http://thumbs.trulia-cdn.com/pictures/thumbs_big/ps.62/c/a/c/1/picture-uh=fa18677f3430fed485b6e8cd117bec9-ps=cac1471e75dd49ebefdf2d7e1dee67.jpg,16,,,2014-05-10 06:24:44,14276369,1,http://www.trulia.com/property/3009481777-10716-SW-127th-Ct-Tigard-OR-97223,Matt Gorman,matt@Bellairs-Gorman.com,5039133834,,Meadows Group Inc. Realtors,http://listings.listhub.net/pages/RMLSOR/14276369/?channel=trulia,,,,,,,,,
      4296 Sunset Dr Lake Oswego OR 97035,4296,Sunset Dr,,Lake Oswego,Clackamas,OR,97035,359000,,,,,,,,,,,For Sale,Resale,Single-Family Home,3,2,1,1680,213.69048,10 018 sqft,1960,Lake Grove,Darling well maintained ranch home in a fantastic Lake Oswego location close to restaurants. Excellent separation of space for the Sq Ft. and includes Hardwoods bonus room gas fireplace french doors leading to spacious and private south facing (lots of natural light) rear yard. Covered carport parking. Includes Lake Boating Easements and outstanding Lake Oswego schools.,http://thumbs.trulia-cdn.com/pictures/thumbs_big/ps.62/d/3/e/4/picture-uh=b3d3d8cb738421bcf72bcf6a955d8bb-ps=d3e4994e67594d175162b2c3d9a889d4.jpg,16,,,2014-05-10 06:24:40,14062656,1,http://www.trulia.com/property/3155354338-4296-Sunset-Dr-Lake-Oswego-OR-97035,Hasson,john@nielandhomes.com,5036359801,,The Hasson Company,http://listings.listhub.net/pages/RMLSOR/14062656/?channel=trulia,,,,,,,,,
      708 Sunny Hill Dr Lake Oswego OR 97034,708,Sunny Hill Dr,,Lake Oswego,Clackamas,OR,97034,495000,,,,,,,,,,,For Sale,Resale,Single-Family Home,3,2,0,1977,250.37936,9 147 sqft,1979,Palisades,Tranquil setting for beautifully updated 3BR/2BA one level in Sunny Hill. Spacious open floor plan with vaulted ceilings gas fireplace hardwood floors. Kitchen with travertine tile floors stainless appliances Eating area family room with French Doors to large deck for entertaining and private fully fenced South facing yard with flowering shrubs rock paths garden lighting and potting shed. New 50 yr arch comp roof central a/c,http://thumbs.trulia-cdn.com/pictures/thumbs_big/ps.62/9/c/d/d/picture-uh=7b4b91e44db35c7524b9c45b46f1359-ps=9cdd78b4e433684f6ebd89dd833f40f7.jpg,16,,,2014-05-10 06:24:35,14679433,1,http://www.trulia.com/property/3155364706-708-Sunny-Hill-Dr-Lake-Oswego-OR-97034,Dale Kuhn,dalek@johnlscott.com,(503) 319-4333,,John L. Scott,http://listings.listhub.net/pages/RMLSOR/14679433/?channel=trulia,,,,,,,,,
      16121 SW Hazeltine Ln Tigard OR 97224,16121,SW Hazeltine Ln,,Tigard,Washington,OR,97224,444900,,,,,,,,,,,For Sale,Resale,Single-Family Home,3,,,2820,157.76596,5 662 sqft,2000,,Master on the main! Great location for this Meyers Farm traditional 3bd/2.5ba home. Gorgeous great room w/cherry finish built-ins and volcanic ash fireplace. Spacious kitchen with granite stainless eating bar & wine refrigerator. Vaulted Master suite has door to deck. Dining room w/wainscoting. Office large beds w/walkin closets newer carpet. Bonus rm lower level perfect for 2nd office/workout/craft rm. Oversized garage A/C,http://thumbs.trulia-cdn.com/pictures/thumbs_big/ps.62/2/b/c/d/picture-uh=12ab26231cbe13d99f7910b340983a10-ps=2bcd476e46e6fc5d44253adb6a1172.jpg,16,http://homesite.obeo.com/Viewer/Default.aspx?tourid=882798&refurl=trulia.com,,2014-05-09 11:43:52,14484769,2,http://www.trulia.com/property/1039231137-16121-SW-Hazeltine-Ln-Tigard-OR-97224,Robin B. Cook,robin@robincook.net,5033121006,,RE/MAX Pacific Northwest RE/MAX EQUITY GROUP-SUBURBAN SW OFFICE,http://www.remax.com/mls/322-14484769,,,,,,,,,
      1753 Jamie Cir West Linn OR 97068,1753,Jamie Cir,,West Linn,Clackamas,OR,97068,319900,,,,,,,,,,,For Sale,Resale,Single-Family Home,4,2,0,1997,160.19029,,1977,Willamette,Beautiful home sits on huge lot with open kitchen updated appliances granite counters and tile flooring. Family living includes fireplace and deck overlooking front. Fully finished basement with easy access to 2 car garage. Quiet low entry neighborhood in beautiful West Linn.,http://thumbs.trulia-cdn.com/pictures/thumbs_big/ps.62/6/d/4/e/picture-uh=8ba62ca9becd86f745bbd6b08a41c9f1-ps=6d4ed64086e7a7a53a61b2c7a41fb73.jpg,20,,,2014-05-09 11:43:47,14665643,2,http://www.trulia.com/property/1047391097-1753-Jamie-Cir-West-Linn-OR-97068,Mandy and Jennifer,mandylewisbroker@gmail.com,5038883180,,Keller Williams - Portland West,http://realestate.kellerwilliams.com/pages/KW/6704566/?channel=trulia,,,,,,,,,
      66 Wheatherstone Lake Oswego OR 97035,66,Wheatherstone,,Lake Oswego,Clackamas,OR,97035,359000,,,,,,,,,,,For Sale,Resale,Single-Family Home,4,3,1,,0,,1972,Mount Park,Quiet Well Maintained And Spacious Is What Define This Wonderful Mt Park Townhome. Situated In A Park-Like Setting With Lots Of Light This 3 Level Townhome Offers Chefs Kit Outside Living Area On All Levels and Large Family Room With Wet Bar For Entertaining. Great For A Family w/ Children Or Great Option For Those Wishing For A More Carefree Lifestyle. Mt Park Amenities And Lake Oswego Award Winning Schools Make This A Must See.,http://thumbs.trulia-cdn.com/pictures/thumbs_big/ps.62/2/b/3/3/picture-uh=20bbdd13974446ca9b1f9772a2226-ps=2b336763732ad32fec64398e9a577fe5.jpg,17,http://www.hasson.com/property/30665489/syn/3/,,2014-05-09 11:43:42,14169567,2,http://www.trulia.com/property/3155166176-66-Wheatherstone-Lake-Oswego-OR-97035,Hasson,casebeerc@hasson.com,(503) 534-1541,,Hasson,http://www.hasson.com/property/30665489/syn/3/,,,,,,,,,
      12185 SW 126th Ave Tigard OR 97223,12185,SW 126th Ave,,Tigard,Washington,OR,97223,275000,,,,,,,,,,,For Sale,Resale,Single-Family Home,3,1,1,1460,188.35617,7 840 sqft,1970,,Inviting one-level home in quiet cul de sac close to elementary school and parks. This 3 bedroom 1.5 bath home has laminate floors throughout newer windows spacious open kitchen with cook island large family room with wood burning fireplace and built-ins formal living room and updated baths. Fully fenced nice sized backyard has deck and plenty of room to garden. Easy access to freeways and shopping.,http://thumbs.trulia-cdn.com/pictures/thumbs_big/ps.62/3/e/a/d/picture-uh=445b530fef8c8ce31ca2d6e657aceb-ps=3ead23889a121aa118671551db476bc.jpg,11,,,2014-05-09 11:43:38,14503507,2,http://www.trulia.com/property/3155169140-12185-SW-126th-Ave-Tigard-OR-97223,Jennifer Tangvald,jtangvald@premierepropertygroup.com,5034300464,,Premiere Property Group,http://listings.listhub.net/pages/RMLSOR/14503507/?channel=trulia,,,,,,,,,
      9999 SW Alsea Dr Tualatin OR 97062,9999,SW Alsea Dr,,Tualatin,Washington,OR,97062,435000,,,,,,,,,,,For Sale,Resale,Single-Family Home,4,2,1,2488,174.83923,8 712 sqft,1990,,Located near the end of a quiet street. Greatroom floorplan w/chefs kitchen featuring slab granite ample cabinets sunny breakfast nook. Family room w/fireplace & incredible built-ins. Master suite w/ bay window coved ceiling w/fan private spa-like bath huge walk-in closet. Very private backyard w/mature shrubs & trees large deck w/hot tub level yard w/play structure - backs to amazing trail perfect for exercise & access to parks!,http://thumbs.trulia-cdn.com/pictures/thumbs_big/ps.62/2/8/8/1/picture-uh=53cbd776c2ad6ad2d923ddceddb8-ps=2881371f3d5f4f37a352e659a4945.jpg,16,,,2014-05-09 11:43:35,14457689,2,http://www.trulia.com/property/3130095605-9999-SW-Alsea-Dr-Tualatin-OR-97062,Marc Fox,marc@marcfoxhomes.com,5033367095,,Keller Williams Realty Portland Premiere,http://realestate.kellerwilliams.com/pages/RMLSOR/14457689/?channel=trulia,,,,,,,,,
      8842 SW Stono Dr Tualatin OR 97062,8842,SW Stono Dr,,Tualatin,Washington,OR,97062,400000,,,,,,,,,,,For Sale,Resale,Single-Family Home,3,2,1,2215,180.58691,0.26 acres,1994,,Amazing home in a private cul de sac in Norwood Heights. Beautifully updated kitchen. Enjoy soaring vaulted ceiling and fireplace in family room. Master suite w/ large walk-in closet and vaulted ceiling. Huge yard with separate garden area and dog run. Gate off backyard opens to park-like setting and bike path. Home wired for sound thru-out.,http://thumbs.trulia-cdn.com/pictures/thumbs_big/ps.62/1/6/6/f/picture-uh=6f458de4a153c4265ca6c30cb1f7453-ps=166f162f02ce99c2c37518ed7df91aa.jpg,15,,,2014-05-09 11:43:32,14184889,2,http://www.trulia.com/property/3155231506-8842-SW-Stono-Dr-Tualatin-OR-97062,Vicki Gile,vickigile@gmail.com,(503) 539-5944,,Premiere Property Group,http://listings.listhub.net/pages/RMLSOR/14184889/?channel=trulia,,,,,,,,,
